Gene,Importance,Clean_ID,Gene_Symbol
ENSG00000136158.12,0.13700140663144325,ENSG00000136158,SPRY2
ENSG00000161649.13,0.12916368348806428,ENSG00000161649,CD300LG
ENSG00000165072.10,0.08781479816737969,ENSG00000165072,MAMDC2
ENSG00000187824.9,0.05809512383338525,ENSG00000187824,TMEM220
ENSG00000099953.10,0.04834532517473429,ENSG00000099953,MMP11
ENSG00000182463.16,0.03944900002928172,ENSG00000182463,TSHZ2
ENSG00000168497.5,0.038658561897702,ENSG00000168497,CAVIN2
ENSG00000123500.10,0.038362013087635434,ENSG00000123500,COL10A1
ENSG00000149090.12,0.038357916469658165,ENSG00000149090,PAMR1
ENSG00000145777.15,0.02945793337097685,ENSG00000145777,TSLP
ENSG00000111404.7,0.02944996180290298,ENSG00000111404,RERGL
ENSG00000168079.17,0.02,ENSG00000168079,SCARA5
ENSG00000154736.6,0.019726027397260273,ENSG00000154736,ADAMTS5
ENSG00000177098.9,0.019722222222222224,ENSG00000177098,SCN4B
ENSG00000137225.13,0.019717647058823527,ENSG00000137225,CAPN11
ENSG00000154721.15,0.019175039995509277,ENSG00000154721,JAM2
ENSG00000143748.18,0.018923247520920516,ENSG00000143748,NVL
ENSG00000135451.13,0.018630355599290015,ENSG00000135451,TROAP
ENSG00000170271.11,0.01,ENSG00000170271,FAXDC2
ENSG00000135046.14,0.01,ENSG00000135046,ANXA1
